,Allocation
AAPL,0.11554665742437792
ABT,0.03882685559832878
ACN,-0.08564554075148842
ADBE,0.013401324976607884
AIG,-0.009062029427756881
ALL,0.1254830921837608
AMGN,0.021666740569665378
AMT,0.3783582015900351
AMZN,-0.027070540597344456
AXP,-0.19566546913432695
BA,0.1070973683046192
BAC,0.05038378198704709
BIIB,-0.0503565260544859
BK,-0.009120428582996864
BKNG,0.008494976240612198
BLK,0.06481346047814728
BMY,0.14456564883440723
BRK-B,0.17489104839248878
C,0.06556643092689206
CAT,-0.13932416469837614
CHTR,-0.03944179247083359
CL,-0.1106450128183513
CMCSA,-0.010079425380491688
COF,0.04003970314495756
COP,-0.13259711294536095
COST,-0.3529435815234386
CRM,0.02001668255592639
CSCO,-0.10553233402855666
CVS,-0.020827657038205515
CVX,0.020885646267881308
DD,0.027829993974072945
DHR,0.17166311623311303
DIS,-0.16589866489164962
DUK,0.03757396127344294
EMR,0.0641065221792536
EXC,0.04278802712372627
F,-0.024317336760389788
FDX,0.02710178421951142
GD,-0.07166450043079035
GE,-0.009807857795107176
GILD,-0.023667830144500232
GM,-0.03528681663572753
GOOG,0.016526332194275874
GOOGL,0.004159665384756811
GS,-0.031168570743022136
HD,0.08744036923946771
HON,-0.017021966953793304
IBM,-0.12193517304085638
INTC,-0.011737527457487521
JNJ,0.050904068468530746
JPM,-0.06435968455566919
KO,0.0530697615890368
LLY,-0.05801980559830168
LMT,-0.00847310235416658
LOW,0.02882480577157561
MA,0.0598243414974364
MCD,0.1695267146573016
MDLZ,-0.07248802340782158
MDT,-0.07250446081648111
MET,-0.08034133825402735
MMM,-0.029547577073745522
MO,0.17719959972344493
MRK,0.3972205589675351
MS,0.015812006758544696
MSFT,-0.03476412336207492
NEE,-0.018777758555589243
NFLX,0.02367988443825572
NKE,-0.02452065041527572
NVDA,-0.042171834665616026
ORCL,0.07647133286952344
OXY,0.010690162632384727
PEP,-0.10600730469455305
PFE,-0.005339045228535098
PG,-0.11460929583266795
PM,0.014053799359984567
QCOM,0.00036570685292361784
RTX,0.02222686861321084
SBUX,0.14487804294051074
SLB,0.00012347939654136603
SO,0.04593382834708014
SPG,-0.02451334820535638
T,0.12381110309592498
TGT,-0.03407335622899379
TMO,-0.0329830418286158
TXN,0.00515797102938285
UNH,0.11876206339787432
UNP,-0.04097741164623411
UPS,0.0382897758819761
USB,-0.030245506885715197
V,0.03801780283146782
VZ,0.3202755681815359
WBA,0.07805052817126512
WFC,0.012347456813137692
WMT,-0.06625963849085495
XOM,-0.13295045517812984
